participant,subj_idx,.draw,beta
60e46e6f6bc0c2cdf5d077ce,1,1,2.622588312033849
60e46e6f6bc0c2cdf5d077ce,1,2,1.784725274053488
60e46e6f6bc0c2cdf5d077ce,1,3,2.08004155575797
60e46e6f6bc0c2cdf5d077ce,1,4,2.3999126318999227
60e46e6f6bc0c2cdf5d077ce,1,5,2.758623757377664
60e46e6f6bc0c2cdf5d077ce,1,6,2.0950149298916365
60e46e6f6bc0c2cdf5d077ce,1,7,2.427923036941249
60e46e6f6bc0c2cdf5d077ce,1,8,1.6199409949781869
60e46e6f6bc0c2cdf5d077ce,1,9,2.07392201948091
60e46e6f6bc0c2cdf5d077ce,1,10,3.005964143063929
60e46e6f6bc0c2cdf5d077ce,1,11,2.078216435374558
60e46e6f6bc0c2cdf5d077ce,1,12,2.844609869802804
60e46e6f6bc0c2cdf5d077ce,1,13,2.0734816031181924
60e46e6f6bc0c2cdf5d077ce,1,14,1.5418321587157706
60e46e6f6bc0c2cdf5d077ce,1,15,2.667738008777623
60e46e6f6bc0c2cdf5d077ce,1,16,2.2155078003913014
60e46e6f6bc0c2cdf5d077ce,1,17,2.2497753271503225
60e46e6f6bc0c2cdf5d077ce,1,18,1.8428927457507398
60e46e6f6bc0c2cdf5d077ce,1,19,2.6965482833430716
60e46e6f6bc0c2cdf5d077ce,1,20,1.9870343836429734
60e46e6f6bc0c2cdf5d077ce,1,21,2.1769212379051535
60e46e6f6bc0c2cdf5d077ce,1,22,1.7329831682224892
60e46e6f6bc0c2cdf5d077ce,1,23,3.033664877317309
60e46e6f6bc0c2cdf5d077ce,1,24,2.6656651952559796
60e46e6f6bc0c2cdf5d077ce,1,25,2.276212940738322
60e46e6f6bc0c2cdf5d077ce,1,26,2.4574218469153237
60e46e6f6bc0c2cdf5d077ce,1,27,2.050253427467692
60e46e6f6bc0c2cdf5d077ce,1,28,1.9932680865523669
60e46e6f6bc0c2cdf5d077ce,1,29,2.9857868129159475
60e46e6f6bc0c2cdf5d077ce,1,30,2.142672884048373
60e46e6f6bc0c2cdf5d077ce,1,31,2.9311178076330613
