alpha_mu,beta_mu,alpha_sigma,beta_sigma
-1.2943796501461782,1.6578864561384576,1.287542039941069,1.8777856146568248
-1.1410419080975933,0.1377822653023959,1.1164344492074472,1.8614390157086615
-0.9064306675261956,0.02762981322132025,1.9836832418724486,2.760811196320523
-1.03498237739856,1.4750706652234504,1.2110144317434028,2.633558865060564
-0.7244080298350509,0.8318645341752499,1.5770557057600887,1.5512956189841818
-0.7139895725287001,-0.09990727812515003,1.251272587728399,1.936609145135269
-0.09749301576415366,1.091078105474925,1.354917030100491,1.218982159460759
-1.0240206750770848,0.3589016280848399,1.2548305830137383,2.2982093650601843
-0.18054502447907034,0.946731180321837,1.3139281924048738,1.884536841531664
-0.4694546079667129,-0.07991003072369039,1.6674460422543593,2.890602547705583
-0.6495269958948531,1.4545500425962856,1.2509165395856439,1.8712094135101398
-0.7692044369660562,0.45423417305923147,1.5198377228467064,1.5859059762848187
-0.5709259784417491,1.4602969408876345,1.0681249116405516,1.6181735488837643
-0.9803114124651819,0.8427530460422936,1.3479072367072815,1.2643635634069574
-1.5821800154995502,0.5522716206424481,1.1961698501125966,1.7696527253699097
-0.880774309251482,1.6002674294456076,1.2694338293121663,1.5529574350839817
-0.43373573279154243,0.8564378782831586,1.6221145979094034,1.9983636754401088
-1.2152239560964981,1.173307376293543,1.3910630209810553,1.6757827119281254
-1.0992876657784207,1.6420378000492388,1.6756141967868632,1.82747031247866
-1.5310943819024523,0.6156549208001997,1.4746388278985771,1.3684244865425088
-0.5258282653361523,0.527011464513867,1.490526276878999,1.8342885646362779
-0.8313130748676241,0.5162931324832779,0.9300011747339981,1.634019839416268
-0.2296266575134476,0.8201339497571706,2.180303774315928,2.2869671875873867
-0.5104029419443267,0.3492686210137231,1.6895176341869969,1.863637949616819
-0.20309861285363737,1.6176780860871107,1.8864876889307358,1.858762506221427
-1.1539558445315028,1.4727036638011186,1.6306925207201906,2.6025008525194235
-1.292425193931451,0.9806561432738237,1.0212162495756463,1.639117971085707
-0.028159261421598806,0.7663529190077105,1.416986746789638,1.5855153947288554
-0.6877773013747129,0.8855158730880817,1.5780779506519083,2.0404310611052505
-1.0421291304648626,0.07452386377559689,1.3458450803765922,1.7121751103383247
-1.4280975582547393,0.8903998742331792,1.3584881475295836,1.7872365426836392
-1.4515987558162007,0.7111054876163938,1.5058804843522173,1.5648993086834824
-0.9449828054496728,0.6707594364570738,1.2017149327459606,1.386530748423914
-1.2860085815506044,0.7717995705451304,1.3220441342956075,1.633388622920266
-0.70245119703646,1.054354610686063,1.5498855757724939,1.317840381640632
-0.467382158562698,1.229099915180344,1.3019667874051901,1.9144039980000713
-1.182096277267567,0.7818866863410561,1.2814214465306866,1.5376247383997583
-0.6795955816272539,0.5640402239410622,1.3995802079739896,1.5509315248510054
-0.8155177471972697,0.39976571809269545,1.420485582457479,2.2407079726321846
-0.4788961772229138,1.648202506029478,1.341947657823824,1.4877705901003606
-1.313653137576526,1.4048960423521772,1.2035541479008756,1.5136313226703153
-0.8741487298030617,0.13238577627239118,1.7896776090004531,2.259100685838401
-0.6805602077645151,0.7139484464775818,1.5624303217150457,2.2850066151473745
-0.6041192139302222,0.038292344723351183,1.3860787319262562,1.5794088823934396
-1.1140750109759041,0.10165555170231548,1.4976480294801664,1.644970145713246
-1.021616852659547,1.4416863488124554,1.2173650716901463,1.8019466318685715
-1.1542209526468976,0.18577808020881414,1.3102077704210513,1.763073411617496
-0.760748996127167,0.6109769407155419,1.3392922067992774,1.9644345867156867
-0.7458967605027265,1.2633400910373123,1.088303777663432,1.863548668935249
-1.3135450993824325,0.954670906961758,1.2049122067401477,1.9662070605356823
-0.41624473988787297,0.5733878219898992,1.4622575530356636,1.63605991388635
-0.7420466405481609,0.9374595290500515,1.1793220871850256,1.2934429862086663
-1.4702454379719785,0.8101846722104625,1.7844044857943788,1.4155516369833556
-1.1542626591256568,1.200368198595765,1.3271230620488368,1.8811270781820053
-1.2789661674796682,0.8182049254733538,1.4010611886247624,1.8505409274878306
-0.9034765236633064,0.8821928977865664,1.7464123598247638,1.648403467300566
-1.0845056856493,1.2266547882347325,1.5533269491483783,1.7666681860778701
-0.24616030600498007,1.6414724056083219,2.343943035466313,1.649511349980943
-0.37167706594866073,1.3090503749622995,1.5368285549491876,1.6997422257184498
-0.2406048298585998,0.4989954618245062,1.414966180447689,1.7784574996249296
-1.3400352716460426,0.5953794411210217,1.2781380101128381,1.5811239538618909
