participant,p_stay_reward,p_stay_noreward,wsls_effect,n_trials
60e46e6f6bc0c2cdf5d077ce,0.4,0.04054054054054054,0.35945945945945945,144
60e6b55696dade249aa3249b,0.9701492537313433,0.6617647058823529,0.3083845478489904,135
60e9f29fe1f58945339696d0,0.6666666666666666,0.29333333333333333,0.3733333333333333,144
66912a96b8dba143ceba8276,0.958904109589041,0.28169014084507044,0.6772139687439707,144
66ab330c867b56b7333c7f26,0.5068493150684932,0.4225352112676056,0.08431410380088755,144
66ab9137e5573312997df691,0.6351351351351351,0.08571428571428572,0.5494208494208493,144
677009b08130c3028f6a8a6d,0.8142857142857143,0.3783783783783784,0.4359073359073359,144
678cc86b7a22ead21c11ea4d,0.21212121212121213,0.20512820512820512,0.006993006993007006,144
67acd3c9faab3a14dfe87135,0.14705882352941177,0.07894736842105263,0.06811145510835914,144
67dae998d8f2cfb8a8e3bf03,0.5375,0.21875,0.31875,144
67f6a640d2046b13fcf33328,0.20588235294117646,0.19736842105263158,0.008513931888544879,144
68598a1d4cebd213b2abb1d9,0.1038961038961039,0.40298507462686567,-0.2990889707307618,144
697ccad66fdf3bbcccb90fe4,0.390625,0.3875,0.003124999999999989,144
69b7e04340b00585acbb91ac,0.3253012048192771,1,-0.6746987951807228,144
69fdce52c07d954848678eaf,0.24285714285714285,0.32432432432432434,-0.08146718146718149,144
6a0092581cd317f1ff1765a2,0.5076923076923077,0.08860759493670886,0.4190847127555988,144
