alpha,beta,p_stay_noreward,p_stay_reward
-0.18298333,0.79698996,0.45438138,0.64885423
-0.18234294,0.82157839,0.45454015,0.65458061
-0.29862758,0.81800213,0.42589302,0.6270015
-0.32433515,0.83556383,0.4196196,0.62509446
-0.3098963,0.82171749,0.42314005,0.62523331
-0.28011349,0.90150611,0.43042595,0.65053521
-0.23123437,0.83787498,0.44244762,0.6471741
-0.21944679,0.79530344,0.44535741,0.64011347
-0.24149088,0.82147301,0.43991898,0.64106329
-0.23468008,0.84139575,0.44159778,0.64719124
-0.23468008,0.84139575,0.44159778,0.64719124
-0.24690346,0.84377084,0.43858581,0.64493928
-0.064485341,0.67252384,0.48388425,0.64749323
-0.054733175,0.69096445,0.48632012,0.65390104
-0.11454804,0.57814436,0.47139426,0.61386697
-0.12800404,0.73408661,0.46804261,0.64704667
-0.19547201,0.71316177,0.45128701,0.6266074
-0.22349557,0.86469914,0.44435753,0.65502548
-0.14560609,0.65337113,0.46366265,0.6242824
-0.097220197,0.63555612,0.47571408,0.63142523
-0.035731779,0.48029333,0.49106801,0.60934542
-0.030640649,0.57711189,0.49234044,0.6333165
-0.012657189,0.55987334,0.49683575,0.63348948
-0.14710871,0.58554182,0.463289,0.60788561
-0.14710871,0.58554182,0.463289,0.60788561
-0.14555118,0.75042768,0.46367631,0.64677118
-0.22309836,0.72737422,0.4444556,0.62346365
-0.16866217,0.74314976,0.45793413,0.63979802
-0.10120227,0.64594604,0.47472101,0.63291525
-0.17990543,0.70708481,0.45514456,0.62882501
-0.17990543,0.70708481,0.45514456,0.62882501
-0.28529419,0.75641657,0.42915631,0.61564937
-0.15772534,0.84902301,0.46065021,0.66625554
-0.25869495,0.72847458,0.43568455,0.6153316
-0.098411917,0.69516291,0.47541686,0.64491263
-0.20360931,0.62002785,0.44927280000000003,0.60262592
-0.13514021,0.70281926,0.46626627,0.63822746
-0.13269236,0.73069875,0.4668755,0.64520007
-0.18781935,0.59180521,0.45318271,0.59964493
-0.18781935,0.59180521,0.45318271,0.59964493
