subject,alpha_rl,beta_rl
1,0.7823233022889193,1.0923538780178896
2,0.4478250324536971,0.22003660887758233
3,0.6172449199391946,0.9071905893486772
4,0.6338012743441326,1.1103292296845
5,0.6217112214941737,0.44059512072089696
6,0.4462211820569574,1.2136046710416937
7,0.28805422075528975,0.5866288067139985
8,0.4478172671788792,0.7139050955400537
9,0.5106321984600745,0.5027477429966936
10,0.41297429376697165,1.3578084879625358
11,0.3622911335778642,0.5735181354730723
12,0.49482313680787615,0.43452029777997214
13,0.26877948753754627,0.22949712315205434
14,0.45195205970490404,3.367533756593028
15,0.5632609561064943,0.1901617354901193
16,0.4531739958766517,1.30029650757887
17,0.32729453693209504,0.6038467621668425
18,0.5629840374178171,1.6697981967034545
19,0.3109454329235286,0.35555009897901274
20,0.18699198138270554,0.6463406398370276
21,0.34238363564602475,1.7807751410095245
22,0.8400668311042647,0.5880652640589409
23,0.45627547954627007,0.869764777268729
24,0.8346684926609487,1.7035887102885703
25,0.3480482790360762,0.17379217778656258
26,0.5577058482552038,0.30714610725006214
27,0.38767867561717023,0.3228416832373053
28,0.7392249120151647,0.28766062425944405
29,0.6741765152306058,1.0500260496826255
30,0.17893552811295668,3.9444537576784513
31,0.6043519288179836,1.8045337738947487
32,0.30299992033934015,4.286849645899424
33,0.7336475962712969,0.23228035919600892
34,0.6851238486689758,0.6438820048443717
35,0.7342631502323316,0.32580980345353105
36,0.5984397978256683,2.007089211359166
37,0.390784374429964,1.4485820727037637
38,0.19596568466205913,2.0159710374068935
39,0.22081757043500738,2.2421774402152073
40,0.4409350897214354,1.1224839594184794
41,0.4699070836012044,0.6215754927149418
42,0.5702757685529442,0.8853720299965266
43,0.46586185359350807,0.8385270174275529
44,0.5077087090054219,0.36848598349167355
45,0.6420281242094243,0.6327171857597018
46,0.7632301994262898,0.7603694705986255
47,0.42547864884407394,0.6397901110191375
48,0.6281774236797343,1.5159865471604794
49,0.5217644392434474,2.913157968474648
50,0.6302937428632515,0.38153904996017857
51,0.3876034945531549,0.355377113373413
52,0.5198326964217117,1.9547049390359665
53,0.26336512724807837,1.3530885519097808
54,0.25115310834884486,0.3493334557895479
55,0.5328772484386821,0.29855035734753355
56,0.36605765825741576,0.9901283481027968
57,0.8318564285514245,0.9202149299053014
58,0.30553314256826936,0.30262107004299393
59,0.5573888404157927,0.4986876201096566
60,0.3730113601609782,0.4876101714110847
61,0.3466663258176593,0.8279007459528673
62,0.6248318958438067,3.8389959673643506
63,0.5805008084394615,0.47121104643928957
64,0.899612492766805,0.09008340660796467
65,0.5769148194654257,0.5132054635465357
66,0.5319910094484127,0.4930183854535273
67,0.49742550869185714,1.3823912454156901
68,0.3343627156358208,0.7610249550658227
69,0.5622957441437281,3.589132085185009
70,0.21015542113801922,1.0006874202974616
71,0.4569337144600136,2.485951092031542
72,0.3883403703637831,0.4527092424054307
73,0.3230597827978959,1.710537654111389
74,0.646421340298637,1.1673277707776217
75,0.2497138367770802,0.29348792470370694
76,0.649049510699641,0.5322690081374677
77,0.7080391128929944,0.14041165230973818
78,0.4296374916306524,0.5192954111129519
79,0.7104838435333306,0.9458388061241464
80,0.48691348103416027,1.6605073724904515
81,0.2899903659363402,0.24354191541534398
82,0.45288103890628784,1.9261496691158957
83,0.44416089511974194,1.1648508218235651
84,0.3827738048975279,0.823249923067647
85,0.7653509662309628,0.9332310728101697
86,0.11502353887437733,3.0285700980768873
87,0.18451841749636877,1.2311866957054738
88,0.3454974810643832,8.66151189964334
89,0.2934499078806185,1.1910403978683197
90,0.4074419450472566,1.1583890664617127
91,0.5683937392555353,0.38337428921900163
92,0.4554904502492078,0.4806949285487181
93,0.5558143915304303,0.4822563452212582
94,0.4611561108163536,0.9964721757395902
95,0.3232830021098349,0.7360100045458838
96,0.49125673689803856,0.504509147985112
97,0.6007583660557623,0.3941656643480363
98,0.32657739265317337,0.8395786308069121
99,0.5013094455547138,2.6488182737416204
100,0.5053968470527544,0.2876026018366536
