"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,1,1,1,1,2,1,2,2,1,1,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.5,0.3,4,0.2
1,1,2,0,0,2,3,2,2,1,0,0.65,0.5,0.65,0.5,0.2,0.2,0.2,0.2,-0.65,0.3,4,0.2
1,1,3,0,0,3,1,1,1,0,0,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,4,0,0,1,3,3,1,0,0,0.5,0.35,0.35,0.5,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,5,0,0,2,1,2,2,1,0,0.455,0.35,0.455,0.35,0.2,0.2,0.2,0.2,-0.455,0.3,4,0.2
1,1,6,0,0,2,1,1,1,0,0,0.35,0.3185,0.3185,0.35,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,7,0,0,1,2,2,1,0,1,0.3185,0.245,0.245,0.3185,0.2,0.2,0.2,0.2,0.6815,0.3,4,0.2
1,1,8,0,0,3,1,1,1,0,0,0.245,0.35,0.35,0.245,0.2,0.2,0.2,0.2,-0.245,0.3,4,0.2
1,1,9,0,0,1,3,1,2,1,1,0.1715,0.35,0.1715,0.35,0.2,0.2,0.2,0.2,0.8285,0.3,4,0.2
1,1,10,0,0,3,2,2,1,0,0,0.52295,0.35,0.35,0.52295,0.2,0.2,0.2,0.2,-0.52295,0.3,4,0.2
1,1,11,0,0,2,3,2,2,1,0,0.366065,0.35,0.366065,0.35,0.2,0.2,0.2,0.2,-0.366065,0.3,4,0.2
1,1,12,0,0,3,1,3,2,1,0,0.35,0.42005,0.35,0.42005,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,13,0,0,1,2,1,2,1,0,0.42005,0.2562455,0.42005,0.2562455,0.2,0.2,0.2,0.2,-0.42005,0.3,4,0.2
1,1,14,0,0,3,2,2,1,0,0,0.2562455,0.245,0.245,0.2562455,0.2,0.2,0.2,0.2,-0.2562455,0.3,4,0.2
1,1,15,0,0,2,3,3,1,0,1,0.245,0.17937185,0.17937185,0.245,0.2,0.2,0.2,0.2,0.755,0.3,4,0.2
1,1,16,0,0,2,1,2,2,1,0,0.17937185,0.294035,0.17937185,0.294035,0.2,0.2,0.2,0.2,-0.17937185,0.3,4,0.2
1,1,17,0,0,3,2,3,2,1,0,0.4715,0.125560295,0.4715,0.125560295,0.2,0.2,0.2,0.2,-0.4715,0.3,4,0.2
1,1,18,0,0,1,3,3,1,0,0,0.33005,0.294035,0.294035,0.33005,0.2,0.2,0.2,0.2,-0.33005,0.3,4,0.2
1,1,19,0,0,1,2,2,1,0,1,0.125560295,0.294035,0.294035,0.125560295,0.2,0.2,0.2,0.2,0.874439705,0.3,4,0.2
1,1,20,0,0,2,1,2,2,1,0,0.3878922065,0.294035,0.3878922065,0.294035,0.2,0.2,0.2,0.2,-0.3878922065,0.3,4,0.2
1,1,21,0,0,3,2,2,1,0,0,0.27152454455,0.231035,0.231035,0.27152454455,0.2,0.2,0.2,0.2,-0.27152454455,0.3,4,0.2
1,1,22,0,0,3,2,3,2,1,0,0.231035,0.190067181185,0.231035,0.190067181185,0.2,0.2,0.2,0.2,-0.231035,0.3,4,0.2
1,1,23,0,0,3,1,1,1,0,0,0.294035,0.1617245,0.1617245,0.294035,0.2,0.2,0.2,0.2,-0.294035,0.3,4,0.2
1,1,24,0,0,2,3,2,2,1,0,0.190067181185,0.1617245,0.190067181185,0.1617245,0.2,0.2,0.2,0.2,-0.190067181185,0.3,4,0.2
1,1,25,0,0,3,1,3,2,1,0,0.1617245,0.2058245,0.1617245,0.2058245,0.2,0.2,0.2,0.2,-0.1617245,0.3,4,0.2
1,2,1,1,0,1,3,1,2,1,0,0.2058245,0.11320715,0.2058245,0.11320715,0.2,0.2,0.2,0.2,-0.2058245,0.3,4,0.2
1,2,2,0,0,3,1,3,2,1,0,0.11320715,0.14407715,0.11320715,0.14407715,0.2,0.2,0.2,0.2,-0.11320715,0.3,4,0.2
1,2,3,0,0,3,1,1,1,0,0,0.14407715,0.079245005,0.079245005,0.14407715,0.2,0.2,0.2,0.2,-0.14407715,0.3,4,0.2
1,2,4,0,0,2,3,2,2,1,0,0.1330470268295,0.079245005,0.1330470268295,0.079245005,0.2,0.2,0.2,0.2,-0.1330470268295,0.3,4,0.2
1,2,5,0,0,2,3,2,2,1,0,0.09313291878065,0.079245005,0.09313291878065,0.079245005,0.2,0.2,0.2,0.2,-0.09313291878065,0.3,4,0.2
1,2,6,0,0,1,3,1,2,1,0,0.100854005,0.079245005,0.100854005,0.079245005,0.2,0.2,0.2,0.2,-0.100854005,0.3,4,0.2
1,2,7,0,0,1,2,2,1,0,0,0.065193043146455,0.0705978035,0.0705978035,0.065193043146455,0.2,0.2,0.2,0.2,-0.065193043146455,0.3,4,0.2
1,2,8,0,0,2,3,2,2,1,0,0.0456351302025185,0.079245005,0.0456351302025185,0.079245005,0.2,0.2,0.2,0.2,-0.0456351302025185,0.3,4,0.2
1,2,9,0,0,3,2,3,2,1,0,0.079245005,0.0319445911417629,0.079245005,0.0319445911417629,0.2,0.2,0.2,0.2,-0.079245005,0.3,4,0.2
1,2,10,0,0,3,2,3,2,1,0,0.0554715035,0.0319445911417629,0.0554715035,0.0319445911417629,0.2,0.2,0.2,0.2,-0.0554715035,0.3,4,0.2
1,2,11,0,0,1,3,1,2,1,0,0.0705978035,0.03883005245,0.0705978035,0.03883005245,0.2,0.2,0.2,0.2,-0.0705978035,0.3,4,0.2
1,2,12,0,0,3,1,1,1,0,0,0.04941846245,0.03883005245,0.03883005245,0.04941846245,0.2,0.2,0.2,0.2,-0.04941846245,0.3,4,0.2
1,2,13,0,0,2,3,2,2,1,0,0.0319445911417629,0.03883005245,0.0319445911417629,0.03883005245,0.2,0.2,0.2,0.2,-0.0319445911417629,0.3,4,0.2
