"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,1,1,1,1,1,2,2,1,0,1,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.5,0.3,4,0.2
1,1,2,0,0,3,1,3,2,1,0,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,3,0,0,2,3,2,2,1,1,0.65,0.35,0.65,0.35,0.2,0.2,0.2,0.2,0.35,0.3,4,0.2
1,1,4,0,0,3,2,2,1,0,0,0.755,0.35,0.35,0.755,0.2,0.2,0.2,0.2,-0.755,0.3,4,0.2
1,1,5,0,0,1,3,1,2,1,0,0.5,0.35,0.5,0.35,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,6,0,0,1,2,2,1,0,0,0.5285,0.35,0.35,0.5285,0.2,0.2,0.2,0.2,-0.5285,0.3,4,0.2
1,1,7,0,0,1,2,1,2,1,0,0.35,0.36995,0.35,0.36995,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,8,0,0,1,3,1,2,1,0,0.245,0.35,0.245,0.35,0.2,0.2,0.2,0.2,-0.245,0.3,4,0.2
1,1,9,0,0,2,1,2,2,1,0,0.36995,0.1715,0.36995,0.1715,0.2,0.2,0.2,0.2,-0.36995,0.3,4,0.2
1,1,10,0,0,3,2,3,2,1,0,0.35,0.258965,0.35,0.258965,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,11,0,0,1,3,3,1,0,0,0.245,0.1715,0.1715,0.245,0.2,0.2,0.2,0.2,-0.245,0.3,4,0.2
1,1,12,0,0,3,2,3,2,1,0,0.1715,0.258965,0.1715,0.258965,0.2,0.2,0.2,0.2,-0.1715,0.3,4,0.2
1,1,13,0,0,3,2,2,1,0,1,0.258965,0.12005,0.12005,0.258965,0.2,0.2,0.2,0.2,0.741035,0.3,4,0.2
1,1,14,0,0,3,2,2,1,0,0,0.4812755,0.12005,0.12005,0.4812755,0.2,0.2,0.2,0.2,-0.4812755,0.3,4,0.2
1,1,15,0,0,2,3,2,2,1,0,0.33689285,0.12005,0.33689285,0.12005,0.2,0.2,0.2,0.2,-0.33689285,0.3,4,0.2
1,1,16,0,0,3,1,3,2,1,0,0.12005,0.1715,0.12005,0.1715,0.2,0.2,0.2,0.2,-0.12005,0.3,4,0.2
1,1,17,0,0,3,2,2,1,0,0,0.235824995,0.084035,0.084035,0.235824995,0.2,0.2,0.2,0.2,-0.235824995,0.3,4,0.2
1,1,18,0,0,3,1,1,1,0,0,0.1715,0.084035,0.084035,0.1715,0.2,0.2,0.2,0.2,-0.1715,0.3,4,0.2
1,1,19,0,0,1,2,1,2,1,0,0.12005,0.1650774965,0.12005,0.1650774965,0.2,0.2,0.2,0.2,-0.12005,0.3,4,0.2
1,1,20,0,0,3,1,3,2,1,1,0.084035,0.084035,0.084035,0.084035,0.2,0.2,0.2,0.2,0.915965,0.3,4,0.2
1,1,21,0,0,2,3,3,1,0,1,0.3588245,0.1650774965,0.1650774965,0.3588245,0.2,0.2,0.2,0.2,0.6411755,0.3,4,0.2
1,1,22,0,0,2,1,1,1,0,0,0.084035,0.1650774965,0.1650774965,0.084035,0.2,0.2,0.2,0.2,-0.084035,0.3,4,0.2
1,1,23,0,0,3,1,3,2,1,0,0.55117715,0.0588245,0.55117715,0.0588245,0.2,0.2,0.2,0.2,-0.55117715,0.3,4,0.2
1,1,24,0,0,2,1,1,1,0,0,0.0588245,0.1650774965,0.1650774965,0.0588245,0.2,0.2,0.2,0.2,-0.0588245,0.3,4,0.2
1,1,25,0,0,3,1,3,2,1,0,0.385824005,0.04117715,0.385824005,0.04117715,0.2,0.2,0.2,0.2,-0.385824005,0.3,4,0.2
1,2,1,1,0,3,1,1,1,0,0,0.04117715,0.2700768035,0.2700768035,0.04117715,0.2,0.2,0.2,0.2,-0.04117715,0.3,4,0.2
1,2,2,0,0,1,3,3,1,0,0,0.2700768035,0.028824005,0.028824005,0.2700768035,0.2,0.2,0.2,0.2,-0.2700768035,0.3,4,0.2
1,2,3,0,0,1,3,3,1,0,0,0.18905376245,0.028824005,0.028824005,0.18905376245,0.2,0.2,0.2,0.2,-0.18905376245,0.3,4,0.2
1,2,4,0,0,2,1,2,2,1,0,0.1650774965,0.028824005,0.1650774965,0.028824005,0.2,0.2,0.2,0.2,-0.1650774965,0.3,4,0.2
1,2,5,0,0,1,2,2,1,0,0,0.11555424755,0.028824005,0.028824005,0.11555424755,0.2,0.2,0.2,0.2,-0.11555424755,0.3,4,0.2
1,2,6,0,0,3,1,3,2,1,0,0.132337633715,0.028824005,0.132337633715,0.028824005,0.2,0.2,0.2,0.2,-0.132337633715,0.3,4,0.2
1,2,7,0,0,3,1,3,2,1,1,0.0926363436005,0.028824005,0.0926363436005,0.028824005,0.2,0.2,0.2,0.2,0.9073636563995,0.3,4,0.2
1,2,8,0,0,3,2,3,2,1,0,0.36484544052035,0.080887973285,0.36484544052035,0.080887973285,0.2,0.2,0.2,0.2,-0.36484544052035,0.3,4,0.2
1,2,9,0,0,1,3,1,2,1,0,0.028824005,0.255391808364245,0.028824005,0.255391808364245,0.2,0.2,0.2,0.2,-0.028824005,0.3,4,0.2
1,2,10,0,0,2,1,2,2,1,0,0.080887973285,0.0201768035,0.080887973285,0.0201768035,0.2,0.2,0.2,0.2,-0.080887973285,0.3,4,0.2
1,2,11,0,0,3,1,1,1,0,1,0.0201768035,0.255391808364245,0.255391808364245,0.0201768035,0.2,0.2,0.2,0.2,0.9798231965,0.3,4,0.2
1,2,12,0,0,3,2,2,1,0,0,0.0566215812995,0.255391808364245,0.255391808364245,0.0566215812995,0.2,0.2,0.2,0.2,-0.0566215812995,0.3,4,0.2
1,2,13,0,0,1,2,1,2,1,0,0.31412376245,0.03963510690965,0.31412376245,0.03963510690965,0.2,0.2,0.2,0.2,-0.31412376245,0.3,4,0.2
1,2,14,0,0,1,2,2,1,0,0,0.03963510690965,0.219886633715,0.219886633715,0.03963510690965,0.2,0.2,0.2,0.2,-0.03963510690965,0.3,4,0.2
1,2,15,0,0,3,1,1,1,0,0,0.219886633715,0.255391808364245,0.255391808364245,0.219886633715,0.2,0.2,0.2,0.2,-0.219886633715,0.3,4,0.2
1,2,16,0,0,2,1,1,1,0,0,0.1539206436005,0.027744574836755,0.027744574836755,0.1539206436005,0.2,0.2,0.2,0.2,-0.1539206436005,0.3,4,0.2
1,2,17,0,0,1,2,2,1,0,0,0.027744574836755,0.10774445052035,0.10774445052035,0.027744574836755,0.2,0.2,0.2,0.2,-0.027744574836755,0.3,4,0.2
1,2,18,0,0,3,2,3,2,1,0,0.255391808364245,0.0194212023857285,0.255391808364245,0.0194212023857285,0.2,0.2,0.2,0.2,-0.255391808364245,0.3,4,0.2
1,2,19,0,0,1,2,2,1,0,0,0.0194212023857285,0.10774445052035,0.10774445052035,0.0194212023857285,0.2,0.2,0.2,0.2,-0.0194212023857285,0.3,4,0.2
1,2,20,0,0,3,1,3,2,1,0,0.178774265854972,0.10774445052035,0.178774265854972,0.10774445052035,0.2,0.2,0.2,0.2,-0.178774265854972,0.3,4,0.2
1,2,21,0,0,2,3,3,1,0,0,0.12514198609848,0.01359484167001,0.01359484167001,0.12514198609848,0.2,0.2,0.2,0.2,-0.12514198609848,0.3,4,0.2
1,2,22,0,0,1,2,1,2,1,0,0.10774445052035,0.01359484167001,0.10774445052035,0.01359484167001,0.2,0.2,0.2,0.2,-0.10774445052035,0.3,4,0.2
1,2,23,0,0,1,2,2,1,0,0,0.01359484167001,0.075421115364245,0.075421115364245,0.01359484167001,0.2,0.2,0.2,0.2,-0.01359484167001,0.3,4,0.2
