alpha,beta,p_stay_noreward,p_stay_reward
-0.42809482031216506,0.520169674111137,0.394581362531814,0.5230024649281881
-0.5472642065194504,0.5042102210681931,0.3664993665996022,0.4892381659714114
-0.9557060248385072,0.5292092290660663,0.27773874339253746,0.39496317391690317
-0.5800666667981063,0.6196861391836498,0.3589172537800839,0.5099035726583037
-0.653687709966059,0.5664637477823871,0.3421590021421058,0.47820782397764505
-0.5046898805786447,0.18015990828297526,0.37643916408713357,0.4195721573372561
-0.7809130979064355,0.10905146188980827,0.31412312593046454,0.3380801147618035
-1.1366071370471102,0.23237517603673177,0.24294383920950074,0.2881816050697762
-0.5207149270305886,0.1883976025896919,0.37268507503801623,0.4176768894838812
-0.3179329347194799,0.21664135311909652,0.4211795899348625,0.47469873345187147
-0.6844013911433551,0.18120392747733371,0.33527966672352155,0.3767895477153585
-0.23250832669449434,0.26831329752885136,0.4421333734869758,0.5089502865431043
-0.5090175051873111,0.6530239886728157,0.3754238734780863,0.5359395332217664
-0.6091718348308126,0.30074097909452713,0.3522481367283468,0.42349779531821835
-0.5939676961776382,0.24198252394498826,0.35572499930831836,0.4129011049083572
-0.8846045405957875,0.4155282571076733,0.29222451446495024,0.38483489820806954
-0.35783262107548497,0.5270741352575848,0.41148432832677345,0.5422096767176802
-0.6656864209539045,0.19989701030722265,0.3394633951675837,0.3856133165779976
-0.8574520137845011,0.26132729752507744,0.29787196774428315,0.35523079724514484
-0.6359505588213467,0.3787250164814514,0.3461624938503779,0.4360458532353992
-0.6327117627203632,0.5057381870791143,0.34689590837882395,0.4682991854572886
-0.5413299033619142,0.14597384940895985,0.36787826711514154,0.4024286074074478
-0.5704748718945788,0.270849817063815,0.3611272578616811,0.425649144208745
-0.7727562040615117,0.3260931838092094,0.31588318578265956,0.39015445517905617
-1.0540200426130315,0.519436884515687,0.2584538898076229,0.3694485750212989
-0.44395471178926116,0.39375333800402734,0.3907990450951761,0.4874522916478168
-0.7715032785072107,0.34429014727094925,0.3161540066850687,0.3947920060764345
-1.0470089508636233,0.254700022483402,0.2597998778585302,0.31167311285854526
-0.1735146414644519,0.25244080876727815,0.4567298475968632,0.5197213053289469
-0.45673564021045066,0.37023874483029706,0.38776050584579314,0.4783892482618344
-0.7892022985379848,0.5114617583809734,0.3123399770479922,0.43100779956530416
-0.7326745363916936,0.055954521942764734,0.3246080934308342,0.33699375410078075
-0.8237812967780012,0.17676190571318318,0.3049615855903722,0.34366152472192024
-0.9026746363264738,0.4480561420009533,0.288501169053645,0.38826324041545696
-0.8783058266973539,0.1790725439185441,0.2935289762116163,0.33198224082521266
