participant,participant_idx,understood_eq_felt
60e46e6f6bc0c2cdf5d077ce,1,True
60e6b55696dade249aa3249b,2,True
60e9f29fe1f58945339696d0,3,True
6661b6019ab530fb44632cc2,4,True
66912a96b8dba143ceba8276,5,True
66ab330c867b56b7333c7f26,6,True
66ab9137e5573312997df691,7,True
677009b08130c3028f6a8a6d,8,False
678cc86b7a22ead21c11ea4d,9,True
67acd3c9faab3a14dfe87135,10,True
67dae998d8f2cfb8a8e3bf03,11,False
67f6a640d2046b13fcf33328,12,True
68598a1d4cebd213b2abb1d9,13,False
697ccad66fdf3bbcccb90fe4,14,True
69b7e04340b00585acbb91ac,15,False
69ef99a65d19811a9ddad38b,16,True
69fdce52c07d954848678eaf,17,True
6a0092581cd317f1ff1765a2,18,False
