participant,block_number,trial_number,choice,reward,Q1,Q2,Q3,E1,E2,E3
60e46e6f6bc0c2cdf5d077ce,1,1,1,1,0.5,0.5,0.5,0,0,0
60e46e6f6bc0c2cdf5d077ce,1,2,1,1,0.9200261789965525,0.5,0.5,-1.725113555725211,0,0
60e46e6f6bc0c2cdf5d077ce,1,3,2,1,0.9872083741636573,0.5,0.5,-2.9509004889044705,0,0
60e46e6f6bc0c2cdf5d077ce,1,4,2,0,0.9872083741636573,0.9200261789965525,0.5,-2.1187687553006,-1.725113555725211,0
60e46e6f6bc0c2cdf5d077ce,1,5,3,0,0.9872083741636573,0.14715601617055224,0.5,-1.5226709060409744,-2.9509004889044705,0
60e46e6f6bc0c2cdf5d077ce,1,6,2,0,0.9872083741636573,0.14715601617055224,0.07997382100344747,-1.0982806464832369,-2.1187687553006,-1.725113555725211
60e46e6f6bc0c2cdf5d077ce,1,7,1,1,0.9872083741636573,0.023537260724651447,0.07997382100344747,-0.7850483874568757,-3.254377120565553,-1.2313472035037096
60e46e6f6bc0c2cdf5d077ce,1,8,1,1,0.9979540090519661,0.023537260724651447,0.07997382100344747,-2.321236139586339,-2.33140272832064,-0.884293023992228
60e46e6f6bc0c2cdf5d077ce,1,9,3,1,0.9996727484384,0.023537260724651447,0.07997382100344747,-3.4027316456887586,-1.679211578746355,-0.6380928826798704
60e46e6f6bc0c2cdf5d077ce,1,10,3,1,0.9996727484384,0.023537260724651447,0.8528439838294477,-2.430372600784459,-1.201538436049761,-2.1965761838378057
60e46e6f6bc0c2cdf5d077ce,1,11,2,1,0.9996727484384,0.023537260724651447,0.9764627392753485,-1.745386346115069,-0.8610460966255021,-3.3009182893672944
60e46e6f6bc0c2cdf5d077ce,1,12,1,1,0.9996727484384,0.843817088327573,0.9764627392753485,-1.24766084236288,-2.389182339070809,-2.361488173979861
60e46e6f6bc0c2cdf5d077ce,1,13,2,1,0.9999476568558241,0.843817088327573,0.9764627392753485,-2.6571951723378406,-1.7019477021598077,-1.7024202433469333
60e46e6f6bc0c2cdf5d077ce,1,14,3,0,0.9999476568558241,0.9750189083063387,0.9764627392753485,-1.9009163557804198,-2.9791425530191358,-1.2177932523168649
60e46e6f6bc0c2cdf5d077ce,1,15,1,0,0.9999476568558241,0.9750189083063387,0.15618291167242704,-1.3576916769902079,-2.1283240001878383,-2.631704645713704
