participant,alpha,beta,kappa,neg_ll,aic,bic,convergence
60e46e6f6bc0c2cdf5d077ce,0.9975273768433653,1.466623287525242,-1.005213432620768,141.9496978949163,289.8993957898326,298.9313016721214,0
60e6b55696dade249aa3249b,0.9748844699035201,2.259935193242506,2.097590929952118,78.15837839968717,162.31675679937433,171.24695802663607,0
60e9f29fe1f58945339696d0,0.6156343613100308,1.9781581368707932,0.35791174019970934,146.48792367081012,298.97584734162024,308.007753223909,0
66912a96b8dba143ceba8276,0.7356144184422274,2.689796839022422,0.7868278898064422,119.95018346739849,245.90036693479698,254.93227281708573,0
66ab330c867b56b7333c7f26,0.0047870766573653925,54.598150033144236,0.49568629864427544,156.90733109787826,319.8146621957565,328.84656807804527,0
66ab9137e5573312997df691,0.9975273768433653,2.4338461804303178,-0.702340521116005,131.34574855111262,268.69149710222524,277.723402984514,0
677009b08130c3028f6a8a6d,0.9975273768433653,1.945893288980239,0.6481430017009626,124.82293554150287,255.64587108300574,264.6777769652945,0
678cc86b7a22ead21c11ea4d,0.18554065311784476,2.097029991521476,-0.7150039615306724,155.6442345069876,317.2884690139752,326.32037489626396,0
67acd3c9faab3a14dfe87135,0.9975273768433653,0.26651431827880684,-1.3988833980589686,144.83893830179946,295.6778766035989,304.7097824858877,0
67dae998d8f2cfb8a8e3bf03,0.18994275090944268,9.827478416463823,-1.0079775357648246,117.63525815365087,241.27051630730173,250.3024221895905,0
67f6a640d2046b13fcf33328,0.9975273768433653,0.486989271971755,-0.7403039516809167,156.31381007217396,318.62762014434793,327.6595260266367,0
68598a1d4cebd213b2abb1d9,0.23813944303371934,2.15685235225238,-0.548174226315042,156.52289515630386,319.0457903126077,328.0776961948965,0
697ccad66fdf3bbcccb90fe4,0.0028766542587193786,54.598150033144236,0.23385038488139334,162.79189044927486,331.5837808985497,340.6156867808385,0
69b7e04340b00585acbb91ac,0.0024726231566347743,0.049787068367863944,1.1451806722144173,141.63993333527043,289.27986667054086,298.3117725528296,0
69fdce52c07d954848678eaf,0.0024726231566347743,22.61683804288299,-0.2279403999050535,163.8591717420307,333.7183434840614,342.75024936635015,0
6a0092581cd317f1ff1765a2,0.8566744330484956,1.62152831223726,-0.637595409207391,147.91987331446043,301.83974662892086,310.8716525112096,0
