participant,kappa,neg_ll,aic,bic,convergence
60e46e6f6bc0c2cdf5d077ce,-0.6002534656269278,159.9219934206924,321.8439868413848,324.854622135481,0
60e6b55696dade249aa3249b,2.2104698386938955,89.413711212496,180.827422424992,183.80415616741257,0
60e9f29fe1f58945339696d0,0.5819215433047901,158.86171677977202,319.72343355954405,322.7340688536403,0
66912a96b8dba143ceba8276,1.2039728044237306,139.2867277769948,280.5734555539896,283.58409084808585,0
66ab330c867b56b7333c7f26,0.5540344024953645,159.42969879214004,320.8593975842801,323.8700328783763,0
66ab9137e5573312997df691,0.152579520744799,164.40749579061165,330.8149915812233,333.82562687531953,0
677009b08130c3028f6a8a6d,1.058260972482687,144.9404065318748,291.8808130637496,294.89144835784583,0
678cc86b7a22ead21c11ea4d,-0.6418539794383878,159.30102288794922,320.60204577589843,323.61268106999466,0
67acd3c9faab3a14dfe87135,-1.3862943718645933,145.5463346450779,293.0926692901558,296.10330458425204,0
67dae998d8f2cfb8a8e3bf03,0.27029034248574724,163.56066499014963,329.12132998029927,332.1319652743955,0
67f6a640d2046b13fcf33328,-0.6844891406344223,158.63794080396457,319.27588160792914,322.28651690202537,0
68598a1d4cebd213b2abb1d9,-0.44285259974569346,162.00373023688024,326.0074604737605,329.0180957678567,0
697ccad66fdf3bbcccb90fe4,0.24116198204469713,163.8164064049771,329.6328128099542,332.64344810405044,0
69b7e04340b00585acbb91ac,1.1451322807852844,141.635696627059,285.271393254118,288.2820285482142,0
69fdce52c07d954848678eaf,-0.22800974674862076,164.00540794609788,330.01081589219575,333.021451186292,0
6a0092581cd317f1ff1765a2,-0.2623643286385028,163.76026397392667,329.52052794785334,332.53116324194957,0
