participant,global_trial,block_number,trial_number,omega
60e46e6f6bc0c2cdf5d077ce,1,1,1,0.4822750816905688
60e46e6f6bc0c2cdf5d077ce,2,1,2,0.5150979647858456
60e46e6f6bc0c2cdf5d077ce,3,1,3,0.5184868626659372
60e46e6f6bc0c2cdf5d077ce,4,1,4,0.5219927128444735
60e46e6f6bc0c2cdf5d077ce,5,1,5,0.5255610254710164
60e46e6f6bc0c2cdf5d077ce,6,1,6,0.5255610254709948
60e46e6f6bc0c2cdf5d077ce,7,1,7,0.5368813277542791
60e46e6f6bc0c2cdf5d077ce,8,1,8,0.5440915982720047
60e46e6f6bc0c2cdf5d077ce,9,1,9,0.5638128590246624
60e46e6f6bc0c2cdf5d077ce,10,1,10,0.5693990887047694
60e46e6f6bc0c2cdf5d077ce,11,1,11,0.5953852861987379
60e46e6f6bc0c2cdf5d077ce,12,1,12,0.5984789662535507
60e46e6f6bc0c2cdf5d077ce,13,1,13,0.6015021189577451
60e46e6f6bc0c2cdf5d077ce,14,1,14,0.5870031518211488
60e46e6f6bc0c2cdf5d077ce,15,1,15,0.6050710718537067
60e46e6f6bc0c2cdf5d077ce,16,1,16,0.622206015988945
60e46e6f6bc0c2cdf5d077ce,17,1,17,0.6384793906291719
60e46e6f6bc0c2cdf5d077ce,18,1,18,0.6068513789900676
60e46e6f6bc0c2cdf5d077ce,19,1,19,0.6232988130627136
60e46e6f6bc0c2cdf5d077ce,20,1,20,0.6442475263780804
60e46e6f6bc0c2cdf5d077ce,21,1,21,0.6318813667495671
60e46e6f6bc0c2cdf5d077ce,22,1,22,0.6468726358623629
60e46e6f6bc0c2cdf5d077ce,23,1,23,0.6582950662000979
60e46e6f6bc0c2cdf5d077ce,24,1,24,0.6632914466954253
60e46e6f6bc0c2cdf5d077ce,25,1,25,0.66834725745640855
60e46e6f6bc0c2cdf5d077ce,26,2,1,0.665211551323649
60e46e6f6bc0c2cdf5d077ce,27,2,2,0.694103995601276
60e46e6f6bc0c2cdf5d077ce,28,2,3,0.6787158175947542
60e46e6f6bc0c2cdf5d077ce,29,2,4,0.6212486584834558
60e46e6f6bc0c2cdf5d077ce,30,2,5,0.6405815522483341
60e46e6f6bc0c2cdf5d077ce,31,2,6,0.6385213424940096
60e46e6f6bc0c2cdf5d077ce,32,2,7,0.6797569407984603
60e46e6f6bc0c2cdf5d077ce,33,2,8,0.6671350727912945
60e46e6f6bc0c2cdf5d077ce,34,2,9,0.677635002528887
60e46e6f6bc0c2cdf5d077ce,35,2,10,0.6776587241992682
