participant,.draw,beta
60f19a691466276fe085b461,1,0.79241741
61563a4b0def9000ccc976ec,1,0.4895275
62ebe597372fdef388b734b3,1,0.56496914
667bd577710d52a05ac09036,1,0.65103204
69728435c9476fe76dd2ab2f,1,0.67142248
697a645e36e6f14eea2b396b,1,-0.33267344
697caeea2ec1c2604535f8aa,1,0.76551209
6980792fded33a62e27ce7cc,1,0.1665796
69808775dc84b90f4adafb2f,1,0.33911354
6980990e5c9007100eb282b6,1,0.1259364
6980d9a70a7862a47c69046d,1,0.80287425
6981150699107501d80e74b6,1,0.39441292
6981e6c2e26c88d954f297eb,1,0.3023919
69829236d776a93cf3afa632,1,0.2494939
698341d57fe7b870bddf91b8,1,-0.61176199
6984a9246122d3bd4ca0833e,1,0.67565226
69d5525ec7afcfce08d8608b,1,0.87021091
69d555ce85e30d6215e559d9,1,0.56690921
69dac2125e535db5a698ea18,1,0.67648866
69e913482ae5864d44e6387c,1,1.1687589
60f19a691466276fe085b461,2,0.31430786
61563a4b0def9000ccc976ec,2,-0.25133674
62ebe597372fdef388b734b3,2,0.75149891
667bd577710d52a05ac09036,2,-0.15852199
69728435c9476fe76dd2ab2f,2,0.37945887
697a645e36e6f14eea2b396b,2,-0.56016059
697caeea2ec1c2604535f8aa,2,0.51016666
6980792fded33a62e27ce7cc,2,0.55928375
69808775dc84b90f4adafb2f,2,0.22408827
6980990e5c9007100eb282b6,2,0.066431202
6980d9a70a7862a47c69046d,2,0.78767224
6981150699107501d80e74b6,2,-0.40706501
6981e6c2e26c88d954f297eb,2,0.17443781
69829236d776a93cf3afa632,2,0.11462283
698341d57fe7b870bddf91b8,2,-0.20563702
6984a9246122d3bd4ca0833e,2,0.7028329
69d5525ec7afcfce08d8608b,2,0.61890843
69d555ce85e30d6215e559d9,2,0.47504962
69dac2125e535db5a698ea18,2,0.31450819
69e913482ae5864d44e6387c,2,0.43512215
60f19a691466276fe085b461,3,0.25159918
61563a4b0def9000ccc976ec,3,-0.57651455
62ebe597372fdef388b734b3,3,1.0576296
667bd577710d52a05ac09036,3,-0.2506104
69728435c9476fe76dd2ab2f,3,0.36845994
697a645e36e6f14eea2b396b,3,-1.083173
697caeea2ec1c2604535f8aa,3,0.56554106
6980792fded33a62e27ce7cc,3,0.75499464
69808775dc84b90f4adafb2f,3,0.29501385
6980990e5c9007100eb282b6,3,0.12068093
6980d9a70a7862a47c69046d,3,0.93973549
6981150699107501d80e74b6,3,-0.78129311
6981e6c2e26c88d954f297eb,3,0.27515641
69829236d776a93cf3afa632,3,-0.27539248
698341d57fe7b870bddf91b8,3,-0.48658447
6984a9246122d3bd4ca0833e,3,0.98969516
69d5525ec7afcfce08d8608b,3,0.64582645
69d555ce85e30d6215e559d9,3,0.5158862
69dac2125e535db5a698ea18,3,0.30492439
69e913482ae5864d44e6387c,3,0.31774631
60f19a691466276fe085b461,4,0.31238682
61563a4b0def9000ccc976ec,4,-0.83569199
62ebe597372fdef388b734b3,4,1.0234673
667bd577710d52a05ac09036,4,0.31638674
69728435c9476fe76dd2ab2f,4,0.36285143
697a645e36e6f14eea2b396b,4,-0.20411286
697caeea2ec1c2604535f8aa,4,0.0010862095
6980792fded33a62e27ce7cc,4,-0.21202854
69808775dc84b90f4adafb2f,4,0.24981613
6980990e5c9007100eb282b6,4,0.20326566
6980d9a70a7862a47c69046d,4,-0.04589573
6981150699107501d80e74b6,4,0.46625595
6981e6c2e26c88d954f297eb,4,-0.19193631
69829236d776a93cf3afa632,4,0.034082177
698341d57fe7b870bddf91b8,4,-0.7226036
6984a9246122d3bd4ca0833e,4,1.114527
69d5525ec7afcfce08d8608b,4,-0.062393852
69d555ce85e30d6215e559d9,4,0.325106
69dac2125e535db5a698ea18,4,0.30127233
69e913482ae5864d44e6387c,4,0.60259228
60f19a691466276fe085b461,5,0.56701101
61563a4b0def9000ccc976ec,5,0.69345542
62ebe597372fdef388b734b3,5,0.44850806
667bd577710d52a05ac09036,5,0.44096748
69728435c9476fe76dd2ab2f,5,0.33432001
697a645e36e6f14eea2b396b,5,-0.53379789
697caeea2ec1c2604535f8aa,5,0.49144068
6980792fded33a62e27ce7cc,5,0.34974966
69808775dc84b90f4adafb2f,5,0.31464716
6980990e5c9007100eb282b6,5,0.079394078
6980d9a70a7862a47c69046d,5,0.61384535
6981150699107501d80e74b6,5,0.69995164
6981e6c2e26c88d954f297eb,5,0.3502144
69829236d776a93cf3afa632,5,0.49727634
698341d57fe7b870bddf91b8,5,-0.9341211
6984a9246122d3bd4ca0833e,5,0.095317019
69d5525ec7afcfce08d8608b,5,1.1448058
69d555ce85e30d6215e559d9,5,0.85128462
69dac2125e535db5a698ea18,5,0.49635471
69e913482ae5864d44e6387c,5,0.60583962
60f19a691466276fe085b461,6,0.20100576
61563a4b0def9000ccc976ec,6,-0.31350376
62ebe597372fdef388b734b3,6,0.3182202
667bd577710d52a05ac09036,6,0.045197198
69728435c9476fe76dd2ab2f,6,0.08303094
697a645e36e6f14eea2b396b,6,-0.16589912
697caeea2ec1c2604535f8aa,6,-0.0052111984
6980792fded33a62e27ce7cc,6,0.12503356
69808775dc84b90f4adafb2f,6,0.2407317
6980990e5c9007100eb282b6,6,0.1366533
6980d9a70a7862a47c69046d,6,0.010240129
6981150699107501d80e74b6,6,0.18415681
6981e6c2e26c88d954f297eb,6,0.43016976
69829236d776a93cf3afa632,6,0.029963172
698341d57fe7b870bddf91b8,6,-0.10263415
