participant,.draw,beta
60f19a691466276fe085b461,1,-0.033445552
61563a4b0def9000ccc976ec,1,0.025022636
62ebe597372fdef388b734b3,1,0.022149679
667bd577710d52a05ac09036,1,0.087455429
69728435c9476fe76dd2ab2f,1,0.082375151
697a645e36e6f14eea2b396b,1,0.054807811
697caeea2ec1c2604535f8aa,1,0.13342612
6980792fded33a62e27ce7cc,1,0.06536758
69808775dc84b90f4adafb2f,1,0.078568514
6980990e5c9007100eb282b6,1,-0.01323382
6980d9a70a7862a47c69046d,1,0.041931115
6981150699107501d80e74b6,1,0.027317284
6981e6c2e26c88d954f297eb,1,-0.084758704
69829236d776a93cf3afa632,1,0.039721989
698341d57fe7b870bddf91b8,1,-0.033307967
6984a9246122d3bd4ca0833e,1,0.088566252
69d5525ec7afcfce08d8608b,1,0.068471049
69d555ce85e30d6215e559d9,1,0.041159936
69dac2125e535db5a698ea18,1,0.061560918
69e913482ae5864d44e6387c,1,0.12615278
60f19a691466276fe085b461,2,0.30783808
61563a4b0def9000ccc976ec,2,0.21608282
62ebe597372fdef388b734b3,2,0.28659262
667bd577710d52a05ac09036,2,0.1497686
69728435c9476fe76dd2ab2f,2,0.11993729
697a645e36e6f14eea2b396b,2,0.14263721
697caeea2ec1c2604535f8aa,2,-0.13082483
6980792fded33a62e27ce7cc,2,0.1982826
69808775dc84b90f4adafb2f,2,0.03272356
6980990e5c9007100eb282b6,2,0.29613028
6980d9a70a7862a47c69046d,2,0.22591685
6981150699107501d80e74b6,2,0.15641748
6981e6c2e26c88d954f297eb,2,0.30380186
69829236d776a93cf3afa632,2,0.15108666
698341d57fe7b870bddf91b8,2,0.20267973
6984a9246122d3bd4ca0833e,2,0.18074595
69d5525ec7afcfce08d8608b,2,0.27606512
69d555ce85e30d6215e559d9,2,0.26473396
69dac2125e535db5a698ea18,2,0.015288713
69e913482ae5864d44e6387c,2,0.0096230372
60f19a691466276fe085b461,3,0.0026422321
61563a4b0def9000ccc976ec,3,0.0107084
62ebe597372fdef388b734b3,3,0.022962738
667bd577710d52a05ac09036,3,0.027562103
69728435c9476fe76dd2ab2f,3,0.042594004
697a645e36e6f14eea2b396b,3,0.020425916
697caeea2ec1c2604535f8aa,3,0.11342175
6980792fded33a62e27ce7cc,3,0.034711536
69808775dc84b90f4adafb2f,3,0.085876956
6980990e5c9007100eb282b6,3,-0.0037259525
6980d9a70a7862a47c69046d,3,0.022730475
6981150699107501d80e74b6,3,0.047286829
6981e6c2e26c88d954f297eb,3,-0.014173549
69829236d776a93cf3afa632,3,0.03715318
698341d57fe7b870bddf91b8,3,0.011788978
6984a9246122d3bd4ca0833e,3,0.0067582284
69d5525ec7afcfce08d8608b,3,0.015336707
69d555ce85e30d6215e559d9,3,0.0016091199
69dac2125e535db5a698ea18,3,0.059205232000000003
69e913482ae5864d44e6387c,3,0.072052122
60f19a691466276fe085b461,4,0.1909102
61563a4b0def9000ccc976ec,4,0.20036629
62ebe597372fdef388b734b3,4,0.17834442
667bd577710d52a05ac09036,4,0.14319775
69728435c9476fe76dd2ab2f,4,0.13282084
697a645e36e6f14eea2b396b,4,0.16349075
697caeea2ec1c2604535f8aa,4,0.011012473
6980792fded33a62e27ce7cc,4,0.15447673
69808775dc84b90f4adafb2f,4,0.041799127
6980990e5c9007100eb282b6,4,0.19454049
6980d9a70a7862a47c69046d,4,0.19055969
6981150699107501d80e74b6,4,0.14226271
6981e6c2e26c88d954f297eb,4,0.19980225
69829236d776a93cf3afa632,4,0.13782108
698341d57fe7b870bddf91b8,4,0.22105352
6984a9246122d3bd4ca0833e,4,0.20023208
69d5525ec7afcfce08d8608b,4,0.20188728
69d555ce85e30d6215e559d9,4,0.21258583
69dac2125e535db5a698ea18,4,0.1103769
69e913482ae5864d44e6387c,4,0.090323238
60f19a691466276fe085b461,5,0.016330378
61563a4b0def9000ccc976ec,5,0.043373336
62ebe597372fdef388b734b3,5,0.054420808
667bd577710d52a05ac09036,5,0.13500891
69728435c9476fe76dd2ab2f,5,0.095091055
697a645e36e6f14eea2b396b,5,0.032376974
697caeea2ec1c2604535f8aa,5,0.098429219
6980792fded33a62e27ce7cc,5,0.095405847
69808775dc84b90f4adafb2f,5,0.12250846
6980990e5c9007100eb282b6,5,0.052550089
6980d9a70a7862a47c69046d,5,0.040921201
6981150699107501d80e74b6,5,0.071976785
6981e6c2e26c88d954f297eb,5,0.056361339
69829236d776a93cf3afa632,5,0.09429243
698341d57fe7b870bddf91b8,5,0.036940767
6984a9246122d3bd4ca0833e,5,0.021096917
69d5525ec7afcfce08d8608b,5,0.067535269
69d555ce85e30d6215e559d9,5,0.0087414622
