participant,reward_nback,p_stay,condition,lag
5c41f9ce4fe4f800016dfaac,0,0.35135135135135137,Not rewarded,1
5c41f9ce4fe4f800016dfaac,1,0.8,Rewarded,1
60e46e6f6bc0c2cdf5d077ce,0,0.04054054054054054,Not rewarded,1
60e46e6f6bc0c2cdf5d077ce,1,0.4,Rewarded,1
60e6b55696dade249aa3249b,0,0.6617647058823529,Not rewarded,1
60e6b55696dade249aa3249b,1,0.9701492537313433,Rewarded,1
60e9f29fe1f58945339696d0,0,0.29333333333333333,Not rewarded,1
60e9f29fe1f58945339696d0,1,0.6666666666666666,Rewarded,1
651d64e4756ee3358eeb981f,0,0.36507936507936506,Not rewarded,1
651d64e4756ee3358eeb981f,1,0.6790123456790124,Rewarded,1
65feaaac53eb219f09ad5ea0,0,0,Not rewarded,1
65feaaac53eb219f09ad5ea0,1,0.04225352112676056,Rewarded,1
6661b6019ab530fb44632cc2,0,0.23684210526315788,Not rewarded,1
6661b6019ab530fb44632cc2,1,0.4411764705882353,Rewarded,1
66912a96b8dba143ceba8276,0,0.28169014084507044,Not rewarded,1
66912a96b8dba143ceba8276,1,0.958904109589041,Rewarded,1
66ab330c867b56b7333c7f26,0,0.4225352112676056,Not rewarded,1
66ab330c867b56b7333c7f26,1,0.5068493150684932,Rewarded,1
66ab9137e5573312997df691,0,0.08571428571428572,Not rewarded,1
66ab9137e5573312997df691,1,0.6351351351351351,Rewarded,1
677009b08130c3028f6a8a6d,0,0.3783783783783784,Not rewarded,1
677009b08130c3028f6a8a6d,1,0.8142857142857143,Rewarded,1
678cc86b7a22ead21c11ea4d,0,0.20512820512820512,Not rewarded,1
678cc86b7a22ead21c11ea4d,1,0.21212121212121213,Rewarded,1
6790e119760887e0183e64f5,0,0.10666666666666667,Not rewarded,1
6790e119760887e0183e64f5,1,0.4444444444444444,Rewarded,1
67acd3c9faab3a14dfe87135,0,0.07894736842105263,Not rewarded,1
67acd3c9faab3a14dfe87135,1,0.14705882352941177,Rewarded,1
67d588ee7c65706eaccfb45a,0,0.3380281690140845,Not rewarded,1
67d588ee7c65706eaccfb45a,1,0.684931506849315,Rewarded,1
67d9815c22d7594f00bd8280,0,0.06349206349206349,Not rewarded,1
67d9815c22d7594f00bd8280,1,0.6049382716049383,Rewarded,1
67dae998d8f2cfb8a8e3bf03,0,0.21875,Not rewarded,1
67dae998d8f2cfb8a8e3bf03,1,0.5375,Rewarded,1
67f6a640d2046b13fcf33328,0,0.19736842105263158,Not rewarded,1
67f6a640d2046b13fcf33328,1,0.20588235294117646,Rewarded,1
68598a1d4cebd213b2abb1d9,0,0.40298507462686567,Not rewarded,1
68598a1d4cebd213b2abb1d9,1,0.1038961038961039,Rewarded,1
697ccad66fdf3bbcccb90fe4,0,0.3875,Not rewarded,1
697ccad66fdf3bbcccb90fe4,1,0.390625,Rewarded,1
6982544679288685d8a0199f,0,0.3037974683544304,Not rewarded,1
6982544679288685d8a0199f,1,0.35384615384615387,Rewarded,1
6982fc304b8a81e87d40e5bd,0,0.25675675675675674,Not rewarded,1
6982fc304b8a81e87d40e5bd,1,0.7428571428571429,Rewarded,1
69a1a0ea10a7df83e3887c25,0,0.11392405063291139,Not rewarded,1
69a1a0ea10a7df83e3887c25,1,0.24615384615384617,Rewarded,1
69a7048762f2aacbfb3c2f02,0,0.15789473684210525,Not rewarded,1
69a7048762f2aacbfb3c2f02,1,0.45588235294117646,Rewarded,1
69b7e04340b00585acbb91ac,0,1,Not rewarded,1
69b7e04340b00585acbb91ac,1,0.3253012048192771,Rewarded,1
69bafd2bf7b48bfde494d532,0,0.08064516129032258,Not rewarded,1
69bafd2bf7b48bfde494d532,1,0.08536585365853659,Rewarded,1
69d04f34ccb85dbac4c3628c,0,0.6875,Not rewarded,1
69d04f34ccb85dbac4c3628c,1,0.0625,Rewarded,1
69de2b262f16bdb2c0122847,0,0.2459016393442623,Not rewarded,1
69de2b262f16bdb2c0122847,1,0.5903614457831325,Rewarded,1
69ef99a65d19811a9ddad38b,0,0.2702702702702703,Not rewarded,1
69ef99a65d19811a9ddad38b,1,0.2571428571428571,Rewarded,1
69fdce52c07d954848678eaf,0,0.32432432432432434,Not rewarded,1
69fdce52c07d954848678eaf,1,0.24285714285714285,Rewarded,1
6a0092581cd317f1ff1765a2,0,0.08860759493670886,Not rewarded,1
6a0092581cd317f1ff1765a2,1,0.5076923076923077,Rewarded,1
6a01c4c8248651c0157c76c5,0,0.38461538461538464,Not rewarded,1
6a01c4c8248651c0157c76c5,1,0.5443037974683544,Rewarded,1
6a087d170d5521dd2055e045,0,0.2777777777777778,Not rewarded,1
6a087d170d5521dd2055e045,1,0.08333333333333333,Rewarded,1
6a09ed98e46b23c32ad77c35,0,0.07142857142857142,Not rewarded,1
6a09ed98e46b23c32ad77c35,1,0.8648648648648649,Rewarded,1
6a0ac6bc5fb56e6d7f8e6569,0,0.6515151515151515,Not rewarded,1
6a0ac6bc5fb56e6d7f8e6569,1,0.9230769230769231,Rewarded,1
