alpha,beta,p_stay_noreward,p_stay_reward
-0.88990282,0.78493275,0.29112988,0.47378155
-0.89473976,0.71022221,0.29013268,0.45400105
-0.88057447,0.80959298,0.29305875,0.48226207
-0.88831956,0.75243006,0.29145673,0.46607981
-0.93913932,0.83631145,0.28107423,0.47431566
-0.9904848,0.8658522,0.27081633,0.46888212
-0.94394677,0.79375997,0.2801038,0.46252372
-0.89742573,0.75776745,0.2895798,0.46514207
-0.86894328,0.74467834,0.29547423,0.46897368
-0.86894328,0.74467834,0.29547423,0.46897368
-0.89633033,0.70811094,0.2898052,0.45308358
-0.95029949,0.81042828,0.2788246,0.46508909
-0.94654439,0.81532066,0.2795803,0.46724106
-0.97851395,0.89055302,0.27318675,0.47802393
-0.95651979,0.83130211,0.27757553,0.46873642
-0.89815341,0.78225304,0.28943012,0.4710573
-0.87386259,0.77118439,0.29445121,0.47435298
-0.89919649,0.80174605,0.28921565,0.47565665
-0.8831336,0.72456741,0.29252884,0.4604413
-0.88630174,0.70037026,0.29187361,0.45365058
-0.85614824,0.77614329,0.29814472,0.48000942
-0.8879461,0.78661605,0.29153386,0.47468914
-0.89469138,0.79208756,0.29014264,0.47437153
-0.89561868,0.79306324,0.28995169,0.47438359
-0.88408396,0.73308618,0.2923322,0.46232212
-0.95342566,0.81851718,0.27819642,0.46632394
-1.0173014,0.93066625,0.26555339,0.47835476
-0.95972885,0.85147981,0.27693249,0.47296413
-0.90011041,0.80242379,0.28902781,0.47559775
-0.8865434,0.71163536,0.29182366,0.45638413
-0.94678125,0.8751333,0.2795326,0.48209567
-1.0189207,0.91993216,0.2652377,0.47527306
-0.86608181,0.73083384,0.29607025,0.46623945
-0.90753515,0.81209435,0.28750449,0.4761579
-0.90452783,0.80854154,0.28812092,0.47602183
-0.89130291,0.79757535,0.29084103,0.47658525
-0.91226604,0.78128997,0.28653636,0.46730271
-0.92341862,0.82645597,0.28426184,0.47577831
-0.86063011,0.75794546,0.29720771,0.47435137
-0.91220679,0.74882071,0.28654847,0.4592441
-0.91220679,0.74882071,0.28654847,0.4592441
-0.92480259,0.77810464,0.28398034,0.46339114
-0.96795533,0.86518045,0.27528824,0.47432887
-0.96975869,0.8913781,0.2749286,0.48041488
-0.96712224,0.8512437,0.27545447,0.47106274
